,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
56,M,Basuku,174,127,130,123,100,106,64.2,46.2,29.2,30.6,BSM
57,M,Basuku,180.5,135,133,130,97,101.7,64.5,48.4,25.9,32.6,BSM
58,M,Basuku,188,137,133,138,101,109.6,66.2,49.2,29.2,33.3,BSM
59,M,Basuku,176,129,121,129,94,98,61,42.9,22.6,27.6,BSM
60,M,Basuku,174,124,121,131,95,93.1,68.3,48.5,29.6,34.8,BSM
61,M,Basuku,183,131,130,138,100,102.4,64.6,50.2,27.2,35.5,BSM
62,M,Basuku,174,123,125,127,98,97.4,59.8,46.7,29.2,33.5,BSM
63,M,Basuku,181,131,129,134,101,101.3090365,65.71579133,47.5886426,27,34,BSM
64,M,Basuku,175,132,124,134,94,95.1,56.4,41,28.3,36.9,BSM
65,M,Basuku,179,120,123,138,100,97.6,62.2,46.8,30.3,32,BSM
66,M,Basuku,184,126,125,135.5,95,103.7,69.5,51.9,32.2,33.1,BSM
67,M,Basuku,179.4164506,131.5486309,126.0141731,129.6757074,96.76021005,97.04329179,62.3,47.9,27.2,35.1,BSM
68,M,Basuku,180,124,135,129,102,103,73,53.77570905,32.2,36.8,BSM
69,M,Basuku,181,124,126,130,101,105.4,59.1,44.6,28.7,34,BSM
70,M,Basuku,177,120,124,129,98,97.8,65.8,49.5,27.3,36.9,BSM
71,M,Basuku,179,132,135,135,100,105.5,72.1,51.3,26.8,37,BSM
72,M,Basuku,183,130,128,128,95,95.5,52.3,43,31.9,33.3,BSM
73,M,Basuku,171,123,124,122,92,97.9,56.1,45.8,25.4,32.4,BSM
74,M,Basuku,176,125,123,132,97,82.9,60.6,43.8,27,34.3,BSM
75,M,Basuku,178,119,124.6024733,118,95.5,100,62.5,46,29.2,32.87222976,BSM
76,M,Basuku,172,129,129,127,97,97.4,67.8,52.6,30.6,37.1,BSM
77,M,Basuku,182,124,135,136,101,105.8,62.8,48.4,27.9,34.6,BSM
78,M,Basuku,183,138,134,134,100,100,73.3,53.6,32.2,35.2,BSM
79,M,Basuku,166,130,127,133,95,102.3,70.2,48.6,29.1,34.6,BSM
80,M,Basuku,174,132,124,131,93,95.1,61.1,41.8,28.1,32.7,BSM
81,M,Basuku,177,131,122,116,92.5,96.2,60,47.6,29.4,34,BSM
82,M,Basuku,175,130,132,132,100.5,92.5,59.7,48.4,26,33.1,BSM
83,M,Basuku,180,135,125,126,98,99.7,61.8,45.7,26.8,32.8,BSM
84,M,Basuku,174,119,121,133,96,95,76.4,49.2,26.7,35.1,BSM
122,M,C,188.9822568,133,131,133,107,115,61,42,27,29,CM
123,M,C,180.7353624,130,118,129,100,93,68,50,24,36,CM
124,M,C,174,126,114.0550933,124,88,90,53,40,23,33,CM
125,M,C,188,131,126.969563,127,104,99.63772901,68.573352,51,25,38,CM
126,M,C,185.9089079,132,123,130,96,92,61,46,27,31,CM
127,M,C,181,135,124,130,96,92,60,47,26.02800313,32,CM
128,M,C,184.7534404,133.8787546,127,131.5617413,99,94,65,47,27,35,CM
129,M,C,175.8780703,132.4514554,120.1771089,125.1801784,91,93.98254349,61.00135827,46,30,28,CM
130,M,C,180,140,126,142,98,92.90320502,69.11488975,51,25,38,CM
131,M,C,182.6269916,130.101219,120,131.6988855,103,99,64,50,24,32,CM
132,M,C,179,136,126.3591325,128,102,100,63,49,27,35,CM
133,M,C,192,148,126,145,105,97.36597058,68.95216317,50,22,36,CM
134,M,C,185,135,127,135,103,101.6830832,63.80459638,46,27,33,CM
135,M,C,181,118,116,126,99,96.57400018,65.72059305,48,24,35,CM
136,M,C,179.8920025,119,125,135,102,100,61,45,24,35,CM
137,M,C,188.4425643,138,134,128,96,98.07694666,66.30651216,49,29,35,CM
138,M,C,190,136,128,141,102,98.50682268,68.73698685,50,26,35,CM
139,M,C,193,124,134,139,108,104,76,51,30,34,CM
140,M,C,193,137,129,134,101,101.4388851,65.94165819,48,32,35,CM
141,M,C,190,132,134,139,105,103.7095818,70.25448457,51,29,36,CM
142,M,C,173,143,133,124,92,91.87769286,64.82169855,49,26,34,CM
143,M,C,191,138,133.0970931,136,101,98.32349991,70.2689481,52,29,39,CM
144,M,C,188,140,128,130,102,101,72,53,28,38,CM
145,M,C,196,145,141,137,107,111,75,55,27,36,CM
146,M,C,197,132,134.2745634,140,110,109.7172679,68.80975614,50,32,34,CM
147,M,C,193,135,125.5824515,129,99,99.1232692,66.54781281,49,27,30,CM
148,M,C,199,142,133.0681574,137,102,101.9153143,72.85960322,54,31,39,CM
149,M,C,181.0077661,130.8814046,124.9215576,128.059417,98,98,62,46,25,35,CM
150,M,C,195,143,129.8860556,127,101,100.8487272,64.16291936,47,28,34,CM
151,M,C,186,131,125,137,102,98,62,47,26,29,CM
152,M,C,185,138,127,126,91,91.74806778,65.83745999,49,28,35,CM
153,M,C,187,131,128,133,103,103.7104373,65.89020749,48,30,34,CM
154,M,C,185,132,128,126,98,92,70,49,24.4907066,31,CM
155,M,C,175.4523103,132.3528682,120,127.0388039,93,91.21420938,63.06543336,47,25,34,CM
156,M,C,180,136,123.9499274,127,98,96.43806886,63.56002307,47,25,33,CM
157,M,C,182,132,122,134,103,105,69,50,32,33,CM
158,M,C,195,137,137,137,105,110,64,43,29,34,CM
159,M,C,188,139,124,128,90,94,62,43,24,37,CM
160,M,C,181,129,133,127,100,97.70224623,65.75701214,49,22,34,CM
161,M,C,187,141,132,129,95,95.8647864,66.11442347,48,26,33,CM
162,M,C,184,132,127.5919856,117,101,104.8263967,63.1570288,49,33,30,CM
163,M,C,188,142,139,136,98,100.3132774,62.83935006,45,29,33,CM
164,M,C,174,137,121,128,91,93.28293345,60.31888288,44,28,29,CM
165,M,C,208,141,139.324207,145,110,110.1376104,72.90215485,54,34,32,CM
166,M,C,189,138,129,132,100,97.04550715,70.87275558,53,28,40,CM
167,M,C,195,136,132.0164934,136,105,101.8816151,68.06364016,50,28,35,CM
168,M,C,190,137,125,132,99,97,61,45,30,34,CM
169,M,C,188,126,121,125,104,103.3292404,65.62344791,48,27,31,CM
170,M,C,184,123,119.2869733,130,97,94.57120915,65.98048177,48,23,33,CM
171,M,C,170.7524324,126.7091569,109,123.2761831,91,85,64,47,22,37,CM
172,M,C,182.6315014,131.6291479,121,131.6441011,101,96,64,49,26,32,CM
173,M,C,185.012495,135.3961845,127,131.4447272,98,96.36416643,68.80308549,52,28,32,CM
174,M,C,185,142,125.4998251,121,93,93.57469721,63.64468174,48,27,33,CM
175,M,C,187,129,125,133,100,99.5328345,67.71838692,50,29,35,CM
176,M,C,183,130,125.1893435,133,100,99,60,46,25,37,CM
177,M,C,182,128,121.1185456,130,92,91,71,51,24,36,CM
178,M,C,179,125,118.351806,129,100,98,55,41,25,34,CM
179,M,C,186,128,130,125,98,98,69,51,23,32,CM
180,M,C,180,135,126,129,98,91,58,46,27,34,CM
181,M,C,183,137,124,133.407765,97.85774285,102.3187388,72,47,29,32,CM
182,M,C,177,132,128,131,98,96.85508668,65.66794734,49,26,33,CM
183,M,C,184,130,124,131,98,98,62,46,25,32,CM
184,M,C,180,134,125.4679048,134,99,96.55050324,66.17642902,49,27,33,CM
185,M,C,175,131,129,130,100,99,63,48,25,36,CM
186,M,C,184,129,130,127,98,101,73,48,26,35,CM
187,M,C,183,131,132,124,99,98.78534416,67.34683582,50,26,35,CM
188,M,C,175,137,118,118,89,87.11246725,63.80337887,48,25,35,CM
189,M,C,187,129,129,130,107,105,68,51,28,31,CM
190,M,C,187,134,129,129,100,100.4128593,64.66406689,47,28,34,CM
191,M,C,190,135,127,130,99,96.40458804,69.8553306,52,28,37,CM
192,M,C,191,133,118,139,106,99,65,50,23,35,CM
193,M,C,188,131,135,124,94,91,62,47,27,36,CM
194,M,C,188,141,129.4311238,138,99,96.99562029,65.8331292,47,27,37,CM
195,M,C,186,134,126,128,98,93,63,53,27,36,CM
196,M,C,179,133,126,125,94,85,68,50,26,35,CM
197,M,C,175,142,125.9381753,136,98,100,70,50,26,36,CM
198,M,C,190,143,130,131,103,91,77,57,24,35,CM
199,M,C,186,139,129.5725295,134,101,100,64,49,28,34,CM
200,M,C,179,132,123,131,96,90,61,45,28,34,CM
201,M,C,190,143,131.8811438,131,101,92,64,49,27,37,CM
202,M,C,201,138,133.9011869,132,100,99.05605701,68.42044429,50.26439748,28.78509477,36,CM
203,M,C,183,136,127.7927914,132,101,98.25339253,65.85721434,48.77210297,26.6050194,35,CM
204,M,C,185,133,130,130,101,93,63,48,29,35,CM
205,M,C,180,133,125.1316708,128,105,99,67,48,27,38,CM
206,M,C,181,138,125,133,101,103,64,48,28,32,CM
207,M,C,174,130,120.0142358,126,96,88,63,49,27,35,CM
208,M,C,180,134,125,126,93,96.02505848,59.75426945,43,29,32,CM
209,M,C,173,132,119,126,90,90.36175815,60.7901937,44,28,35,CM
210,M,C,188,137,130.8803746,127,106,103.9735079,67.71226119,51,29,33,CM
211,M,C,177,126,123.0605066,130,100,99.78139212,64.08944421,47,27,33,CM
212,M,C,190,142,135,135,99,102.5636595,61.24456465,43,28.92359252,30,CM
213,M,C,189,126,119,130,101,94,65,51,25,35,CM
