,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
65,F,Basuku,170,125,124,118,89,93.7,60.7,45.4,26.1,33.5,BSF
66,F,Basuku,165,125,111.8303224,123,89,88.9,54.2,39.3,25.1,29.6,BSF
67,F,Basuku,171.5628827,125,117.5995852,119,91.63916778,93.84186211,59.83408585,44.10241771,25.33015735,32.31765925,BSF
68,F,Basuku,177,120,111,124,88,84.1,49.8,40.7,24.6,31.2,BSF
69,F,Basuku,167,128,120,128,92,91.9,58,44.6,28.2,33.9,BSF
70,F,Basuku,165,121,109,121,82,93.2,56.7,38.8,22.8,31.3,BSF
71,F,Basuku,161,119,111,114,86,92,61,46.6,25.7,33.2,BSF
72,F,Basuku,165,130,119,128,90,90.9,56.6,42.8,26.6,28.4,BSF
73,F,Basuku,169,129,115.5756396,135,91,91.52016373,63.88063226,46.7,25.5,35.6,BSF
74,F,Basuku,164,134,121,128,93,99.1,60.4,44.6,24.8,30.7,BSF
75,F,Basuku,167,129,117,124,89,95.2,64.3,44.6,26.6,33.3,BSF
76,F,Basuku,175,127,110,129,95,100.6,64.8,43.9,25.1,29.3,BSF
77,F,Basuku,179,131,124,138,102,94.6,65,49,28.4,32.4,BSF
78,F,Basuku,167,126,117.9785192,126,95.5,95.87562447,59.7850419,44.4337204,25.29944659,32.21979327,BSF
79,F,Basuku,166,127,116,119,91,95.7,61.8,45.9,24.9,33.1,BSF
80,F,Basuku,169,116,109,125.5,94,92.2,55,44.7,27.9,30.5,BSF
81,F,Basuku,168,127,109,125,95,93.4,59.5,44.8,26.9,31.1,BSF
82,F,Basuku,168.5557838,121,115.8354071,121.7991286,91.65474891,94.11453956,58.79083838,43.47125913,25.69868746,32.11596366,BSF
83,F,Basuku,170.1068684,126.7986543,117.1050942,122.1529426,91.88173044,93.69476481,59.7648407,43.64629774,24.98872446,32.13232283,BSF
84,F,Basuku,176.4250255,127.7275773,122.5112911,126.0104684,95.79834423,97.1580182,62.33797575,45.92588669,26.98564052,32.97388067,BSF
85,F,Basuku,169,132,119,124,91,95.9,60,42.4,26.9,33.7,BSF
86,F,Basuku,172,117,121,131,95,98.8,65.7,47,23.9,35.3,BSF
87,F,Basuku,163,121,112,120,87,87.7,48.5,40.6,27.5,33.3,BSF
88,F,Basuku,167,126,124,127,94,96.8,59.4,47.8,28,33,BSF
89,F,Basuku,159,121,114,120,90,90,49,38.9,27.8,29.4,BSF
90,F,Basuku,166,117,113,121,87,94.5,53.5,42.1,24.3,29.6,BSF
91,F,Basuku,173,130,121,120,92,95.6,63,44.9,24.9,33.6,BSF
92,F,Basuku,165,122.931161,118.6011563,121,93,94.54711455,58.95686738,44.26229699,26.32085897,32.28918872,BSF
93,F,Basuku,163,117,117,122,92,91.9,56.9,41.4,23.1,28.8,BSF
94,F,Basuku,172,126,110,123,87,86.3,61.7,44.9,25.8,31.9,BSF
95,F,Basuku,180,126,123.0724456,118,96,97.58471152,62.84629003,46.47256527,26.43516756,33.07159292,BSF
96,F,Basuku,167,121,112,120,88,95,56.5,41.6,27.6,31,BSF
97,F,Basuku,172,131,114,130,89,89.2,59.3,45.4,26,34.3,BSF
98,F,Basuku,170,129,127,128,90,83.4,60,49.1,26,33.9,BSF
99,F,Basuku,162,136,119,134,91,88.8,56.7,43.1,28.1,32.6,BSF
100,F,Basuku,166,121,108,114,90,94,51.7,39.1,22.9,32.4,BSF
101,F,Basuku,176,130,104,128,85,91.2,58.3,38.1,25.5,30.4,BSF
102,F,Basuku,166,131,119,123,90,90.6,53.9,43.3,27.7,31.6,BSF
103,F,Basuku,163,123,110,121,91,94,58.3,45.5,24.5,34.5,BSF
104,F,Basuku,169,125,104,120,85,86.2,49.4,36.2,23.9,29.2,BSF
105,F,Basuku,169,126,121,129,95,100.7,59.7,43.7,27.6,31.9,BSF
106,F,Basuku,171,130.5,108,124,90,94.9,63.5,41.8,24.2,34.8,BSF
107,F,Basuku,164,124,116,120,90,90.3,51.8,41.8,26.1,30.1,BSF
155,F,C,186.2678611,133.9820745,130,132.0463208,101,100.3541958,64.83081337,47,28,38,CF
156,F,C,166,125,117,121,90,91.00189654,57.9409157,41,22,33,CF
157,F,C,162,123,116,124,94,90.43617174,63.13510275,47,21,33,CF
158,F,C,176,129,119.2028357,125,93,92.29394319,62.75903801,46.24391491,25.38214637,33,CF
159,F,C,184,136,129,130,98,98.17593017,64.93583593,48,28,36,CF
160,F,C,158,124,107.4321141,112,84,83,50,37,24,29,CF
161,F,C,175,126,114,131,96,95.30649215,60.61525559,44,27,33,CF
162,F,C,167,138,122,123,93,91,62,43,25,35,CF
163,F,C,177,126,114,122,95,95,57,41,24,33,CF
164,F,C,164,129,113,125,87,88,64,47,25,34,CF
165,F,C,165,126,119,118,87,84,61,46,23,36,CF
166,F,C,176,134,120.5124424,132,91,92,60,44,26,33,CF
167,F,C,165,129,115.4072705,125,91,90.67448824,58.89602345,44,26,35,CF
168,F,C,172,118,113.1625587,122,89,87,54,40,29,29,CF
169,F,C,177,138,116,130,89,92,62,45,28,32,CF
170,F,C,181,130,123,127,97,103,69,47,30,37,CF
171,F,C,184,135,120.9426895,132,93,90,55,44,25,30,CF
172,F,C,171,125,119,124,91,92.01350874,61.28149404,45,26,31,CF
173,F,C,172,126,114,128,95,92.59408854,62.3572653,46,24,33,CF
174,F,C,178,148,124,138,95,90,69,51,22,32,CF
175,F,C,172,132,118,126,90,90,61,44,28,34,CF
176,F,C,184,136,124,131,101,103,71,50,26.16258877,35,CF
264,F,C,189,132,113,133,99,94,64,47,26,32,CF
265,F,C,180,126,124.2945644,128,94,94,63,48,29,34,CF
266,F,C,172,130,122,123,90,90,60,44,26,36,CF
267,F,C,193,140,123,136,99,94,69,52,29,36,CF
268,F,C,173.1075417,130.4752598,119,125.2965583,94,92,55,43,26,34,CF
269,F,C,177,133,120.5018949,130,95,95,59,42,25,29,CF
270,F,C,173,126,118,124,94,94,56,46,28,33,CF
271,F,C,178,134,113,120,94,96,59,43,24,34,CF
272,F,C,182,134,125.3796343,130,104,100,60,43,29,35,CF
273,F,C,174,132,122,123,94,96.37915451,57.89600301,41,25,29,CF
274,F,C,191,127,120,125,98,92,66,48,24,34,CF
275,F,C,194,133,124,133,104,103,67,47,27,36,CF
276,F,C,168,135,119.0535708,126,88,87,57,43,26,32,CF
277,F,C,176,130,114,126,94,97,62,45,26,37,CF
278,F,C,186,139,128,128,100,98,61,47,30,33,CF
279,F,C,184,136,129,130,98,98.18232717,64.92873582,48,28,36,CF
280,F,C,158,124,107.4321141,112,84,83,50,37,24,29,CF
281,F,C,167,138,122,123,93,91,62,43,25,35,CF
282,F,C,177,126,114,122,95,95,57,41,24,33,CF
283,F,C,164,129,113,125,87,88,64,47,25,34,CF
284,F,C,165,126,119,118,87,84,61,46,23,36,CF
285,F,C,176,134,120.5124424,132,91,92,60,44,26,33,CF
286,F,C,165,129,115.3860635,125,91,90.66995865,58.89589293,44,26,35,CF
287,F,C,172,118,113.1625587,122,89,87,54,40,29,29,CF
288,F,C,177,138,116,130,89,92,62,45,28,32,CF
289,F,C,181,130,123,127,97,103,69,47,30,37,CF
290,F,C,184,135,120.9426895,132,93,90,55,44,25,30,CF
291,F,C,172,132,118,126,90,90,61,44,28,34,CF
292,F,C,189,132,113,133,99,94,64,47,26,32,CF
293,F,C,177,130,123,120,92,98,60,43,25,32,CF
294,F,C,180.4372596,131,125.0062922,128,102,98.87163119,64.74822165,48,26,37,CF
295,F,C,180.9834738,127,123.5392059,128,94,94,66,46,29,35,CF
296,F,C,178,135,115,131,96,92.84192366,63.73123261,46.09184778,25.67110533,32,CF
297,F,C,178,131,120,124,100,98.09038751,62.23340579,46,27,33.35517391,CF
298,F,C,172,130,122,123,90,90,60,44,26,36,CF
299,F,C,193,140,123,136,99,94,69,52,29,36,CF
300,F,C,173.1075417,130.4752598,119,125.2965583,94,92,55,43,26,34,CF
301,F,C,180.8781086,135,125.3031713,128.1308347,94,90.56188936,69.08232758,52,26,39,CF
302,F,C,177,133,120.6175771,130,95,95,59,42,25,29,CF
303,F,C,181,130,123,127,90,89.85015436,64.49566417,47,25,34,CF
304,F,C,173,126,118,124,94,94,56,46,28,33,CF
305,F,C,178,134,113,120,94,96,59,43,24,34,CF
306,F,C,182,134,125.3616779,130,104,100,60,43,29,35,CF
307,F,C,174,132,122,123,94,96.37484728,57.90078364,41,25,29,CF
308,F,C,182,133,123,121,95,94.37045272,64.72277183,48,25,34,CF
309,F,C,191,127,120,125,98,92,66,48,24,34,CF
310,F,C,194,133,124,133,104,103,67,47,27,36,CF
311,F,C,168,135,119.0535708,126,88,87,57,43,26,32,CF
312,F,C,176,124,110,123,97,101,60,41,23,30,CF
313,F,C,183,134,125.4824976,126,91,94.08020643,65.50508614,49,31,32,CF
314,F,C,178,131,113,120,91,91.1139426,61.26605759,45,26.0746351,30,CF
315,F,C,180,137,121,128,89,87.99829289,61.8128843,44,25,34,CF
316,F,C,176,130,114,126,94,97,62,45,26,37,CF
317,F,C,181,132,125,129,93,96.10317687,59.15066821,42,27,29,CF
318,F,C,169.7257881,127.9258215,112,122.9280758,90,88.83603398,59.74358162,44,24,33,CF
320,F,C,181,128,116,126,97,89,63,46,23,35,CF
321,F,C,183.9174807,126.1994799,114,137,104,103.5510048,62.59417882,45,30,29,CF
322,F,C,181,125,117,133,102,97,64,44,28,34,CF
323,F,C,172,126,121,122,94,103,65,45,25,32,CF
324,F,C,181,134,122,126,98,98,67,50,27,36,CF
325,F,C,174.8321856,126,117,125.9618745,94.17425993,97.01166037,60,41,25,30,CF
326,F,C,186.0074191,139.1504914,135,131.4830234,95,98,74,54,27,37,CF
327,F,C,177.6487554,126,118.9019113,128,93,95.7258201,61.22564085,45,29,32,CF
328,F,C,186,139,128,128,100,98,61,47,30,33,CF
329,F,C,187,130,122.9148843,125,95,94.43450877,65.26791629,48,26,34,CF
330,F,C,176.8781387,130.5264459,123,125.3371727,96,98,58,46,26,35,CF
354,F,Hwhite,169,129,123,126,98,97,61,46,23,31,HwhiteF
355,F,Hwhite,166,145,128,122,94,93,61,45,27,32,HwhiteF
356,F,Hwhite,179,132,121,127,99,92,64,47,21,33,HwhiteF
357,F,Hwhite,176,146,127,134,101,9,7,5,26,33,HwhiteF
