psraid,state,density,cregion,usr,q1,q2,q3,q5,q7a,q7b,q7c,q7d,q9,q10,q15a,q15b,q15c,q15d,q15e,q16a,q16b,q16c,q16d,q16e,q20,q21,q22,q23,q24,q24oe_1,q24oe_2,q24oe_3,q25,q26,q27,q33,q34,q40,q46m1,q46m2,q47m1,q47m2,q47m3,q47m4,q47m5,q47m6,q47m7,q48,q49,q50,q51,q52,q55,q55af1,q55bf1,q55cf1,q55df1,q55ff2,q55gf2,q55hf2,q55if2,q58a,q58b,q61f1,q63f2,q64,q66,party,partyln,q68,q69,q70,q71a,q71b,q71c,q71d,q71e,q71f,q71g,q73,q74,q74a,q74a_OE1,q74a_OE2,q74a_OE3,q75,q76,q77,q78,q79a,q79b,q79c,q79d,q79e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birthhisp,chr,relig,born,attend,income,reg,ideo,teapart2,pvote12a,pvote12b,q83,hh1,hh3,lc3,money2,q24vb,q70os,q74avb
100137,17,5,2,U,2,1,2,1,3,2,8,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,1,,,,,2,1,1,2,2,2,2,1,5,2,4,,,,,2,1,1,1,2,1,,,,,1,1,1,2,1,1,,1,1,1,2,,,1,,,,,,,,,,,,,,,,2,,,,,,,,1,53,3,2,2,,,,,,1,2,4,1,1,2,3,1,1,2,3,2,3,,,,
100138,39,4,2,U,2,1,1,1,3,2,3,3,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,3,,,2,1,1,3,3,2,1,2,6,,,,,,,1,2,2,2,1,1,2,2,2,2,,,,,2,2,2,,1,1,3,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,78,8,2,1,,,,,,2,2,2,4,1,4,3,1,1,2,1,,,,FOR EVERYONES BUSINESS,,
100157,36,4,1,U,2,2,1,2,4,4,4,4,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,8,,,2,2,2,3,3,3,1,2,2,3,4,7,6,5,,2,1,2,2,1,1,,,,,1,2,1,2,1,2,,1,1,1,1,,2,,1,2,2,1,3,8,2,4,2,1,,,,,1,,2,2,3,2,2,2,3,1,75,3,2,1,,,,,,2,2,4,3,1,4,1,1,2,1,2,2,2,,"USING THIS INFORMATION NOT NECESSARILY TODAY, BUT DOWN THE ROAD, THEY'LL USE IT FOR EVIDENCE AGAINST ANYONE THEY CHOOSE.  LIMITED TO THE TIME THAT THE INFO CAN BE HELD.",,
100159,48,4,3,U,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,,,,,1,,2,4,3,2,2,,,,,,,,,1,1,2,2,2,1,,,,,1,1,1,1,1,2,,1,1,2,2,,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,58,3,1,1,,,,1,,1,2,4,6,3,3,3,,,,2,2,3,,,,
100165,48,2,3,U,9,9,9,9,8,8,8,8,2,9,9,9,1,9,9,9,9,9,9,9,3,9,9,9,,,,,9,,9,2,9,9,1,2,2,,,,,,,2,9,9,9,2,1,3,9,9,9,,,,,9,9,1,,9,9,1,,9,,9,5,5,5,5,5,5,8,9,9,,,,,9,,9,9,9,9,9,9,9,2,83,3,2,1,,,,,,1,1,4,10,1,2,3,2,,4,1,,,,,,
100169,20,1,2,R,2,2,9,2,1,2,2,4,2,9,2,1,1,1,1,1,2,1,1,2,2,2,9,2,9,,,,9,,1,3,1,4,1,2,7,,,,,,,2,2,2,2,2,1,2,2,2,1,,,,,2,2,2,,1,1,1,,1,,88,2,1,3,3,5,2,2,2,1,,,,,2,,9,9,3,2,2,3,3,1,80,2,2,1,,,,,,2,2,2,4,3,2,1,,,,1,,,,,,
100174,29,3,2,S,2,2,9,2,2,3,2,2,2,2,9,1,9,2,1,2,1,1,9,1,1,2,2,9,,,,,9,,1,3,3,9,2,,,,,,,,,1,2,2,2,2,1,3,2,1,1,,,,,1,1,2,,1,3,1,,1,,99,8,8,8,8,2,8,3,2,2,1,80,,,1,,1,1,2,9,9,2,3,2,73,4,2,1,,,,,,1,1,1,6,1,3,3,1,2,2,2,2,2,,,,MORE CONSERVATIVE ON SOME LINES
100181,48,5,3,U,2,1,2,9,8,3,4,3,1,2,1,1,1,1,2,1,1,1,9,1,3,9,9,9,,,,,9,,2,2,3,9,1,,9,,,,,,,2,9,9,9,9,1,,,,,9,1,9,9,9,2,,9,2,9,2,,,2,,,,,,,,,,,,,,,,9,,,,,,,,2,55,5,2,2,,,,,,2,2,6,2,3,9,8,,,,3,1,1,,,,
100184,42,1,1,R,2,1,2,2,3,1,8,3,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,3,,,2,1,2,3,3,2,5,3,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,1,2,2,,2,9,2,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,36,8,2,1,,,,,,1,2,4,8,1,4,3,1,1,4,2,2,1,,GENERAL STATISTICAL PURPOSES,,
100191,27,5,2,U,1,1,2,1,4,2,3,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,,,,,1,,1,2,1,9,2,3,,,,,,,,1,2,2,9,2,1,3,1,2,1,,,,,2,2,2,,3,1,2,,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,53,8,2,1,,,,,,1,2,3,9,1,4,2,1,1,1,4,3,2,,,,
