SEX,pop,geog,BIBLIO,POPUL,GOL,XCB,BBH,ZYB,NPH,NLH,NLB,OBH,OBB,BPL,BNL
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,141,139,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,153,141,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,149,143,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,,126,NA,NA,NA,NA,34,41,NA,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,NA,,,NA,NA,NA,NA,34,42,NA,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,,127,NA,74,51,24,37,41,NA,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,139,121,NA,62,46,24,33,39,90,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,131,138,NA,64,46,22,31,41,90,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,133,139,NA,64,47,26,30,43,95,NA
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,153,136,NA,71,49,26,33,44,96,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,171,,127,NA,64,51,23,33,41,97,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,135,NA,NA,69,48,25,35,43,97,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,145,135,NA,68,49,26,31,44,97,NA
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,203,143,133,NA,77,58,28,36,44,101,NA
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,NA,134,NA,76,52,25,36,45,102,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,165,124,NA,NA,61,44,21,31,40,78,81
2,histw,B,MORANT 1931,Anglais London Spitalfields,156,127,NA,NA,54,41,23,29,38,84,87
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,134,118,NA,NA,NA,NA,NA,NA,NA,88
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,176,135,119,NA,NA,47,24,33,38,NA,88
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,129,118,NA,NA,NA,NA,NA,NA,NA,89
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,139,123,NA,NA,NA,NA,NA,NA,NA,89
2,histw,B,MORANT 1931,Anglais London Spitalfields,163,131,127,NA,NA,NA,NA,NA,36,NA,89
2,histw,B,MORANT 1931,Anglais London Spitalfields,,,124,NA,NA,47,22,33,41,NA,89
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,138,NA,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,174,141,NA,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,179,135,114,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,175,NA,121,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,138,121,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,128,122,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,MORANT 1931,Anglais London Spitalfields,174,141,125,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,138,128,NA,NA,NA,NA,NA,NA,NA,91
2,histw,B,MORANT 1931,Anglais London Spitalfields,163,123,,NA,64,45,23,32,40,92,91
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,,132,116,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,132,117,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,133,121,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,142,121,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,132,122,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,172,134,122,NA,NA,NA,NA,NA,NA,NA,92
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,148,122,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,137,123,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,167,136,126,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,,139,127,NA,NA,NA,NA,NA,NA,NA,92
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,NA,133,NA,NA,NA,NA,NA,NA,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,132,124,NA,NA,NA,NA,37,38,NA,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,,128,NA,64,49,24,35,42,84,92
2,histw,B,MORANT 1931,Anglais London Spitalfields,168,,NA,NA,66,48,22,33,39,90,92
1,histw,B,MORANT 1931,Anglais London Spitalfields,168,NA,124,NA,62,41,26,29,40,91,92
2,histw,B,MORANT 1931,Anglais London Spitalfields,168,134,133,NA,66,47,25,31,39,92,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,173,131,NA,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,183,131,121,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,128,124,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,169,134,124,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,169,,124,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,172,134,125,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,176,138,125,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,,,125,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,171,138,128,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,167,141,128,NA,NA,NA,NA,NA,NA,NA,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,151,128,NA,NA,NA,NA,NA,NA,NA,93
